2,0
2,2
2,7
2,17
3,7
3,9
3,16
3,14
4,1
4,11
4,9
4,7
5,3
5,4
5,17
5,12
6,1
6,4
6,12
6,13
7,0
7,0
7,2
7,4
9,1
9,3
9,2
11,2
11,2
11,6
11,3
12,3
12,4
12,3
12,7
13,3
13,3
13,8
15,0
15,4
15,4
15,3
15,2
16,1
16,1
16,2
16,3
17,6
17,9
17,19
17,11
19,0
19,1
19,0
20,2
20,4
20,0
20,1
22,1
22,1
22,2
22,9
23,1
23,3
23,2
23,3
25,2
25,7
25,4
26,0
26,1
26,0
26,4
27,10
27,8
27,12
27,4
28,0
28,1
28,7
28,7
29,4
29,12
29,13
29,21
30,9
30,11
30,10
30,6
32,3
32,3
32,12
33,3
33,3
33,3
33,2
34,4
34,4
34,15
34,9
35,1
35,6
35,2
35,3
36,3
36,6
36,13
36,7
36,13
37,2
37,10
37,4
38,1
38,4
38,2
38,5
38,8
39,2
39,0
39,6
39,10
40,1
40,2
40,8
40,14
41,7
41,8
41,11
41,15
42,6
42,8
42,6
42,9
44,4
44,7
44,13
44,10
45,0
45,1
45,7
48,2
48,8
48,9
48,7
48,9
49,8
49,7
49,12
49,16
50,1
50,4
50,4
50,15
