1,370
2,1454
3,187
4,411
5,260
6,537
7,23
8,158
9,573
10,857
11,110
12,1020
13,329
14,498
15,217
16,703
17,592
18,287
19,215
20,124
21,47
22,246
23,20594
24,100
25,8
26,126
27,344
28,366
29,275
30,926
31,160
32,169
33,69
34,196
35,557
36,286
37,227
38,124
39,304
40,444
41,1026
42,2262
43,136
44,149
45,872
46,400
47,169
48,908
49,353
50,0
51,18
1,146
2,524
3,4
4,249
5,73
6,373
7,57
8,18
9,124
10,158
11,24
12,0
13,61
14,275
15,28
16,77
17,82
18,71
19,18
20,4
21,2
22,42
23,0
24,80
25,26
26,144
27,39
28,377
29,66
30,374
31,74
32,136
33,129
34,7
35,238
36,3
37,36
38,76
39,83
40,4
41,70
42,378
43,52
44,69
45,258
46,372
47,57
48,37
49,85
50,0
51,0
1,89
2,101
3,104
4,138
5,75
6,194
7,3
8,13
9,417
10,59
11,29
12,300
13,5
14,546
15,107
16,27
17,44
18,19
19,22
20,4
21,4
22,46
23,0
24,86
25,24
26,118
27,71
28,384
29,114
30,238
31,157
32,65
33,305
34,8
35,263
36,41
37,7
38,30
39,108
40,108
41,58
42,304
43,5
44,1
45,88
46,248
47,9
48,50
49,43
50,556
51,0
1,84
2,311
3,99
4,178
5,21
6,189
7,27
8,131
9,43
10,12
11,7
12,186
13,13
14,201
15,4
16,39
17,12
18,43
19,0
20,6
21,16
22,75
23,0
24,10
25,4
26,15
27,20
28,68
29,86
30,635
31,55
32,36
33,101
34,18
35,72
36,27
37,0
38,13
39,140
40,30
41,23
42,212
43,24
44,33
45,55
46,73
47,110
48,70
49,0
50,153
51,6
