2,14.55
2,15.96
2,12.47
2,22.36
3,6.07
3,13.63
3,12.26
3,14.15
4,15.57
4,12.86
4,15.17
5,4.64
5,10.91
5,6.74
5,10.6
6,2.63
6,6.38
6,7.33
6,5.86
7,13.62
7,11.96
7,9.39
7,12.94
9,9.49
9,13.29
9,9.94
9,11.2
11,6.35
11,5.41
11,2.43
11,1.74
12,15.84
12,14.84
12,12.74
12,22.6
13,14.68
13,12.08
13,12.68
13,14.56
15,16.2
15,16.41
15,16.01
15,6.09
16,9.41
16,21.52
16,12.85
16,13.8
17,13.6
17,13.6
17,10.74
17,12.05
19,21.78
19,15.1
19,13.7
19,16.3
20,7.28
20,12.56
20,7.3
20,6.75
22,14.13
22,10.7
22,14.42
22,16.22
23,7.92
23,14.98
23,12.79
23,11.8
25,12.2
25,11.41
25,5.48
25,7.05
26,13.55
26,14.03
26,14.1
26,15.1
27,10.34
27,13.3
27,10.08
27,11.9
28,5.11
28,10.65
28,8.48
28,2.17
29,15.34
29,15.51
29,14.14
29,23.25
30,5.1
30,6.44
30,2.84
30,0.25
32,11.15
32,6.75
32,7.91
32,14.46
33,7.48
33,12.39
33,4.5
33,2.82
34,4.3
34,3.13
34,1.9
34,3.95
35,5.48
35,3.9
35,2.84
35,7.28
36,2.11
36,14.3
36,7.68
36,12.4
37,10.9
37,4.9
37,5.41
37,8.79
38,14.29
38,22.18
38,14.52
38,22.22
39,4.94
39,6
39,5.8
39,5.5
40,9.07
40,5.9
40,8.57
40,4.7
41,7.78
41,9.29
41,3.84
41,11.1
42,6.96
42,5.98
42,8.87
42,13.65
44,7.39
44,9.28
44,3.62
44,10.56
45,5.96
45,4.67
45,11.07
45,22.2
48,9.27
48,6.2
48,9.78
48,5.89
49,12.1
49,13.72
49,12.88
49,14.07
50,6.8
50,5.42
50,2.62
50,3.15
50,3.03
